"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 06:21:02 CST 2022","Sun Jun 26 06:22:49 CST 2022","106761","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 03:40:11 CST 2022","Sun Jun 26 03:41:59 CST 2022","107559","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 20:46:01 CST 2022","Sat Jun 25 20:47:48 CST 2022","106794","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 09:36:01 CST 2022","Sun Jun 26 09:37:50 CST 2022","108453","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:39:19 CST 2022","Sun Jun 26 02:41:09 CST 2022","109311","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 19:47:43 CST 2022","Sat Jun 25 19:49:30 CST 2022","107134","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 20:25:20 CST 2022","Sat Jun 25 20:27:10 CST 2022","109903","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:22:42 CST 2022","Sat Jun 25 23:24:29 CST 2022","106757","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:12:41 CST 2022","Sat Jun 25 21:14:29 CST 2022","107921","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:57:59 CST 2022","Sat Jun 25 21:59:53 CST 2022","113844","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 00:41:44 CST 2022","Sun Jun 26 00:43:32 CST 2022","108494","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 05:58:26 CST 2022","Sun Jun 26 06:00:15 CST 2022","108930","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:04:33 CST 2022","Sun Jun 26 07:06:20 CST 2022","107246","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 19:04:23 CST 2022","Sat Jun 25 19:06:11 CST 2022","107234","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:59:58 CST 2022","Sat Jun 25 22:01:47 CST 2022","109569","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 04:04:54 CST 2022","Sun Jun 26 04:06:42 CST 2022","108073","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:27:41 CST 2022","Sat Jun 25 21:29:30 CST 2022","108913","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:36:43 CST 2022","Sun Jun 26 07:38:32 CST 2022","109746","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 08:52:18 CST 2022","Sun Jun 26 08:54:11 CST 2022","112839","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:11:27 CST 2022","Sat Jun 25 23:13:14 CST 2022","107081","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 20:27:15 CST 2022","Sat Jun 25 20:29:02 CST 2022","107322","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 08:37:01 CST 2022","Sun Jun 26 08:38:51 CST 2022","110069","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 18:44:02 CST 2022","Sat Jun 25 18:45:47 CST 2022","105396","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:29:11 CST 2022","Sun Jun 26 07:30:59 CST 2022","107436","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 19:43:59 CST 2022","Sat Jun 25 19:45:46 CST 2022","106463","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:35:54 CST 2022","Sat Jun 25 23:37:41 CST 2022","107360","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 19:06:15 CST 2022","Sat Jun 25 19:08:02 CST 2022","106783","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 01:44:23 CST 2022","Sun Jun 26 01:46:11 CST 2022","108127","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:18:17 CST 2022","Sat Jun 25 21:20:05 CST 2022","107667","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 06:15:25 CST 2022","Sun Jun 26 06:17:12 CST 2022","107384","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:23:29 CST 2022","Sun Jun 26 07:25:17 CST 2022","107254","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 18:42:14 CST 2022","Sat Jun 25 18:43:57 CST 2022","103095","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 05:43:24 CST 2022","Sun Jun 26 05:45:13 CST 2022","109124","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 03:23:19 CST 2022","Sun Jun 26 03:25:09 CST 2022","110150","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 01:27:23 CST 2022","Sun Jun 26 01:29:10 CST 2022","106977","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 05:54:42 CST 2022","Sun Jun 26 05:56:30 CST 2022","108148","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 08:31:21 CST 2022","Sun Jun 26 08:33:09 CST 2022","107446","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 03:28:58 CST 2022","Sun Jun 26 03:30:46 CST 2022","107652","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:26:02 CST 2022","Sun Jun 26 02:27:50 CST 2022","107752","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 08:59:54 CST 2022","Sun Jun 26 09:01:42 CST 2022","107877","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:25:21 CST 2022","Sun Jun 26 07:27:11 CST 2022","109871","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 09:30:20 CST 2022","Sun Jun 26 09:32:09 CST 2022","108902","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 20:44:09 CST 2022","Sat Jun 25 20:45:57 CST 2022","107904","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 18:36:34 CST 2022","Sat Jun 25 18:38:26 CST 2022","112382","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 08:29:29 CST 2022","Sun Jun 26 08:31:17 CST 2022","107423","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:01:01 CST 2022","Sat Jun 25 21:02:48 CST 2022","106544","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 10:06:31 CST 2022","Sun Jun 26 10:08:19 CST 2022","108116","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:14:01 CST 2022","Sun Jun 26 07:15:51 CST 2022","110785","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 18:51:19 CST 2022","Sat Jun 25 18:53:07 CST 2022","108004","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:03:50 CST 2022","Sat Jun 25 23:05:40 CST 2022","109838","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:40:55 CST 2022","Sat Jun 25 21:42:43 CST 2022","107875","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:27:16 CST 2022","Sun Jun 26 07:29:06 CST 2022","110282","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:12:07 CST 2022","Sun Jun 26 07:13:56 CST 2022","108260","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 01:42:29 CST 2022","Sun Jun 26 01:44:18 CST 2022","109454","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 01:50:08 CST 2022","Sun Jun 26 01:51:58 CST 2022","110432","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 06:32:24 CST 2022","Sun Jun 26 06:34:14 CST 2022","110268","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 08:22:01 CST 2022","Sun Jun 26 08:23:48 CST 2022","107703","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 06:24:47 CST 2022","Sun Jun 26 06:26:35 CST 2022","108495","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 10:00:44 CST 2022","Sun Jun 26 10:02:41 CST 2022","117519","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:23:55 CST 2022","Sat Jun 25 21:25:42 CST 2022","107693","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 22:48:50 CST 2022","Sat Jun 25 22:50:38 CST 2022","107744","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 05:24:33 CST 2022","Sun Jun 26 05:26:21 CST 2022","107949","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 08:44:44 CST 2022","Sun Jun 26 08:46:32 CST 2022","108029","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:58:28 CST 2022","Sun Jun 26 03:00:16 CST 2022","107136","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 20:31:01 CST 2022","Sat Jun 25 20:32:49 CST 2022","107817","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 19:17:29 CST 2022","Sat Jun 25 19:19:17 CST 2022","107699","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 22:31:58 CST 2022","Sat Jun 25 22:33:47 CST 2022","109138","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 00:26:29 CST 2022","Sun Jun 26 00:28:17 CST 2022","108314","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 21:06:39 CST 2022","Sat Jun 25 21:08:29 CST 2022","109403","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
